name,lat,lon,url
0y2w3,44.794,-87.313,https://www.ndbc.noaa.gov/view_text_file.php?filename=0y2w3h2012.txt.gz&dir=data/historical/stdmet/
0y2w3,44.794,-87.313,https://www.ndbc.noaa.gov/view_text_file.php?filename=0y2w3h2013.txt.gz&dir=data/historical/stdmet/
0y2w3,44.794,-87.313,https://www.ndbc.noaa.gov/view_text_file.php?filename=0y2w3h2014.txt.gz&dir=data/historical/stdmet/
0y2w3,44.794,-87.313,https://www.ndbc.noaa.gov/view_text_file.php?filename=0y2w3h2015.txt.gz&dir=data/historical/stdmet/
18ci3,41.73,-86.91,https://www.ndbc.noaa.gov/view_text_file.php?filename=18ci3h2014.txt.gz&dir=data/historical/stdmet/
18ci3,41.73,-86.91,https://www.ndbc.noaa.gov/view_text_file.php?filename=18ci3h2015.txt.gz&dir=data/historical/stdmet/
20cm4,42.09,-86.49,https://www.ndbc.noaa.gov/view_text_file.php?filename=20cm4h2014.txt.gz&dir=data/historical/stdmet/
20cm4,42.09,-86.49,https://www.ndbc.noaa.gov/view_text_file.php?filename=20cm4h2015.txt.gz&dir=data/historical/stdmet/
23020,22.162,38.5,https://www.ndbc.noaa.gov/view_text_file.php?filename=23020h2008.txt.gz&dir=data/historical/stdmet/
23020,22.162,38.5,https://www.ndbc.noaa.gov/view_text_file.php?filename=23020h2009.txt.gz&dir=data/historical/stdmet/
23020,22.162,38.5,https://www.ndbc.noaa.gov/view_text_file.php?filename=23020h2010.txt.gz&dir=data/historical/stdmet/
31201,-27.705,-48.134,https://www.ndbc.noaa.gov/view_text_file.php?filename=31201h2005.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2007.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2008.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2009.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2010.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2011.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2012.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2013.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2014.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2015.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2016.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2017.txt.gz&dir=data/historical/stdmet/
32012,-19.425,-85.078,https://www.ndbc.noaa.gov/view_text_file.php?filename=32012h2018.txt.gz&dir=data/historical/stdmet/
32301,-9.9,-105.2,https://www.ndbc.noaa.gov/view_text_file.php?filename=32301h1984.txt.gz&dir=data/historical/stdmet/
32301,-9.9,-105.2,https://www.ndbc.noaa.gov/view_text_file.php?filename=32301h1985.txt.gz&dir=data/historical/stdmet/
32301,-9.9,-105.2,https://www.ndbc.noaa.gov/view_text_file.php?filename=32301h1986.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1986.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1987.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1988.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1989.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1990.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1991.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1992.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1993.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1994.txt.gz&dir=data/historical/stdmet/
32302,-18.0,-85.1,https://www.ndbc.noaa.gov/view_text_file.php?filename=32302h1995.txt.gz&dir=data/historical/stdmet/
32487,3.517,-77.737,https://www.ndbc.noaa.gov/view_text_file.php?filename=32487h2008.txt.gz&dir=data/historical/stdmet/
32487,3.517,-77.737,https://www.ndbc.noaa.gov/view_text_file.php?filename=32487h2009.txt.gz&dir=data/historical/stdmet/
32487,3.517,-77.737,https://www.ndbc.noaa.gov/view_text_file.php?filename=32487h2010.txt.gz&dir=data/historical/stdmet/
32488,6.258,-77.511,https://www.ndbc.noaa.gov/view_text_file.php?filename=32488h2008.txt.gz&dir=data/historical/stdmet/
32488,6.258,-77.511,https://www.ndbc.noaa.gov/view_text_file.php?filename=32488h2009.txt.gz&dir=data/historical/stdmet/
34002,-55.0,-90.0,https://www.ndbc.noaa.gov/view_text_file.php?filename=34002h2017.txt.gz&dir=data/historical/stdmet/
34002,-55.0,-90.0,https://www.ndbc.noaa.gov/view_text_file.php?filename=34002h2018.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1976.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1977.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1978.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1979.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1980.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1981.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1982.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1983.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1984.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1985.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1986.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1987.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1988.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1989.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1990.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1991.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1992.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1993.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1994.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1995.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1996.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1997.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1998.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h1999.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2000.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2001.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2002.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2003.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2004.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2005.txt.gz&dir=data/historical/stdmet/
41001,34.703,-72.242,https://www.ndbc.noaa.gov/view_text_file.php?filename=41001h2006.txt.gz&dir=data/historical/stdmet/
